VHCLE_TY_NM,VHCLE_FUEL_NM,VHCLE_NMPR_CO,VHCLE_MAKR_NM,USE_DT,COST_D
SUV/승합,전기,5,국산,겨울,30666.66667
SUV/승합,경유,9,국산,여름,40320
중형,LPG,5,국산,봄,38400
중형,LPG,5,국산,겨울,19903.44828
SUV/승합,전기,4,국산,봄,23900
중형,LPG,5,국산,겨울,69300
중형,LPG,5,국산,겨울,22593.10345
SUV/승합,전기,4,국산,겨울,25683.58209
소형,휘발유,5,국산,겨울,16754.71698
SUV/승합,전기,4,국산,겨울,26320
소형,휘발유,5,국산,겨울,28329.41176
SUV/승합,전기,5,국산,겨울,26425.80645
중형,휘발유,5,국산,겨울,32727.27273
소형,휘발유,5,국산,겨울,22800
SUV/승합,경유,9,국산,겨울,30336
SUV/승합,전기,4,국산,겨울,23900
SUV/승합,경유,9,국산,겨울,34027.39726
SUV/승합,경유,9,국산,겨울,58800
중형,LPG,5,국산,겨울,38080
SUV/승합,경유,9,국산,겨울,78577.77778
중형,휘발유,5,국산,겨울,16569.86301
SUV/승합,경유,9,국산,봄,101647.0588
중형,LPG,5,국산,겨울,24293.87755
중형,LPG,5,국산,겨울,15125.5814
고급,LPG,5,국산,봄,62522.0339
중형,LPG,5,국산,겨울,19000
중형,LPG,5,국산,겨울,30563.26531
소형,휘발유,5,국산,겨울,28800
중형,휘발유,5,국산,겨울,32733.33333
중형,LPG,5,국산,겨울,17066.66667
중형,휘발유,5,국산,겨울,22105.26316
고급,휘발유,5,국산,겨울,32282.35294
SUV/승합,경유,9,국산,겨울,55000
SUV/승합,휘발유,5,수입,겨울,31976.47059
소형,휘발유,5,국산,겨울,25674.4186
SUV/승합,경유,11,국산,봄,93556.36364
SUV/승합,휘발유,5,국산,겨울,25753.84615
SUV/승합,전기,5,국산,겨울,22400
중형,LPG,5,국산,봄,42043.79562
SUV/승합,경유,9,국산,봄,67776
소형,휘발유,5,국산,겨울,25252.17391
중형,LPG,5,국산,겨울,21818.18182
SUV/승합,경유,5,국산,겨울,42024.4898
중형,LPG,5,국산,겨울,23208.79121
소형,전기,4,수입,겨울,43200
중형,LPG,5,국산,겨울,43408.69565
중형,LPG,5,국산,겨울,18000
중형,LPG,5,국산,겨울,28645.16129
SUV/승합,경유,5,국산,봄,37167.56757
중형,휘발유,5,국산,겨울,39019.35484
중형,LPG,5,국산,겨울,16416
중형,LPG,5,국산,겨울,18225
SUV/승합,전기,4,국산,겨울,26887.5
